epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,10401.5,0.79892,0.48404,0.94886,0.89955,0.86267,0.92181,0.66374,0.90688,0.50573,1.04507,0.000286083,0.000286083,0.000286083
77,10531.2,0.80246,0.48345,0.9468,0.89826,0.86258,0.92002,0.66465,0.90767,0.50338,1.04449,0.000275084,0.000275084,0.000275084
78,10660.9,0.79483,0.48132,0.94356,0.89223,0.86308,0.91715,0.66385,0.90611,0.50472,1.04498,0.000264085,0.000264085,0.000264085
79,10790.6,0.79701,0.48098,0.94136,0.89379,0.86538,0.91828,0.66377,0.90415,0.50736,1.04423,0.000253086,0.000253086,0.000253086
80,10920.2,0.78896,0.47254,0.94122,0.90216,0.85776,0.9187,0.66619,0.90362,0.50638,1.04278,0.000242087,0.000242087,0.000242087
81,11048.3,0.78805,0.47584,0.93885,0.89301,0.86752,0.91944,0.66407,0.90551,0.50502,1.04372,0.000231088,0.000231088,0.000231088
82,11178.5,0.78823,0.46683,0.93939,0.89561,0.86773,0.91933,0.666,0.89936,0.50354,1.04022,0.000220089,0.000220089,0.000220089
83,11307.8,0.77912,0.46403,0.93509,0.89866,0.86186,0.91625,0.66485,0.89967,0.50577,1.04189,0.00020909,0.00020909,0.00020909
84,11437.8,0.77919,0.4681,0.93661,0.89061,0.86934,0.91549,0.66062,0.90233,0.50922,1.0418,0.000198091,0.000198091,0.000198091
85,11566.2,0.77844,0.46515,0.93672,0.90261,0.85824,0.91619,0.66289,0.90268,0.5085,1.04265,0.000187092,0.000187092,0.000187092
86,11694.5,0.77062,0.45524,0.93502,0.89988,0.86521,0.91896,0.66568,0.89974,0.50344,1.041,0.000176094,0.000176094,0.000176094
87,11824.2,0.77361,0.45712,0.93423,0.90106,0.86201,0.91902,0.6661,0.89783,0.50185,1.0418,0.000165095,0.000165095,0.000165095
88,11953.6,0.77182,0.45241,0.93579,0.90295,0.85856,0.92002,0.66664,0.89802,0.50384,1.04194,0.000154096,0.000154096,0.000154096
89,12082.5,0.76217,0.44961,0.92958,0.89372,0.86536,0.91919,0.66558,0.89973,0.50283,1.04355,0.000143097,0.000143097,0.000143097
90,12210.4,0.76316,0.45305,0.93086,0.89371,0.87016,0.91919,0.66474,0.89866,0.50185,1.04198,0.000132098,0.000132098,0.000132098
91,12338.6,0.72608,0.39293,0.9218,0.90524,0.86124,0.91774,0.66306,0.90366,0.50366,1.045,0.000121099,0.000121099,0.000121099
92,12461.7,0.71229,0.3804,0.91696,0.90053,0.86378,0.91561,0.66221,0.90144,0.50562,1.04354,0.0001101,0.0001101,0.0001101
93,12586.4,0.7028,0.37796,0.91283,0.90794,0.85399,0.91453,0.66363,0.89908,0.50408,1.04353,9.91012e-05,9.91012e-05,9.91012e-05
94,12710,0.70126,0.37289,0.91268,0.90495,0.85362,0.91421,0.66522,0.89839,0.50514,1.04411,8.81023e-05,8.81023e-05,8.81023e-05
95,12833.5,0.6962,0.37329,0.90972,0.89138,0.86674,0.91417,0.66526,0.89705,0.50782,1.04496,7.71034e-05,7.71034e-05,7.71034e-05
96,12957.7,0.69482,0.37022,0.90906,0.8907,0.86837,0.91616,0.6657,0.89836,0.50644,1.047,6.61045e-05,6.61045e-05,6.61045e-05
97,13080.2,0.68943,0.36617,0.90875,0.89069,0.86505,0.9143,0.66653,0.89716,0.506,1.04653,5.51056e-05,5.51056e-05,5.51056e-05
98,13205.2,0.68392,0.36431,0.90464,0.89747,0.85943,0.91323,0.66608,0.89765,0.50524,1.04701,4.41067e-05,4.41067e-05,4.41067e-05
99,13328.5,0.68334,0.36148,0.90288,0.90536,0.8543,0.91624,0.66607,0.8978,0.50413,1.04702,3.31078e-05,3.31078e-05,3.31078e-05
100,13451.7,0.68181,0.3603,0.90556,0.90564,0.85352,0.91632,0.66635,0.89684,0.50274,1.04648,2.21089e-05,2.21089e-05,2.21089e-05
